  0.000000000  0.000000000  0.000000000      15       0
       1       1  -20.557321620   -0.000000000
       1       2  -18.820148152   -0.000000000
       1       3  -17.586157068   -0.000000000
       1       4  -17.586157072   -0.000000000
       1       5  -13.804224544   -0.000000000
       1       6  -13.759964561   -0.000000000
       1       7  -13.759964583   -0.000000000
       1       8   -1.799306705    0.000000000
       1       9   -2.070411731   -0.000000000
       1      10   -1.324284703   -0.000000000
       1      11   -2.181622902    0.000000000
       1      12   -2.181622917   -0.000000000
       1      13   -1.827858122   -0.000000000
       1      14   -1.877847974   -0.000000000
       1      15   -2.373754558   -0.000000000
